사과__08/NNG	동시/NNG 에/JKB 국내/NNG 각/MM 언론사/NNG 에/JKB 	사과/NNG	성명/NNG 을/JKO 발표/NNG 하/XSV 겠/EP 다는/ETM 약속/NNG 까지/JX 하/VV 았/EP 다/EF ./SF 
사과__08/NNG	NHK/SL 는/JX "/SS 이/MM 정정/NNG 과/JC 	사과/NNG	는/JX 방송법/NNG (/SS 4/SN 조/NNB )/SS 에/JKB 따르/VV ᆫ/ETM 것/NNB "/SS 이라고/JKQ 밝히/VV 었/EP 다/EF ./SF 
사과__08/NNG	실제/MAG 이번/NNG 선거/NNG 기간/NNG 동안/NNG 상대편/NNG 을/JKO '/SS 캐나다/NNP 의/JKG 적/NNG 들/XSN '/SS 이라고/JKQ 험담/NNG 을/JKO 퍼붓/VV 어/EC 지나/VV ᆫ/ETM 달/NNG 이/NP 를/JKO 공개/NNG 	사과/NNG	하/XSV ᆫ/ETM 바/NNB 있/VV 고/EC ,/SP 한/MM 인터뷰/NNG 에서/JKB 는/JX 선거/NNG 에/JKB 냉담/NNG 하/XSA ᆫ/ETM 유권자/NNG 들/XSN 을/JKO "/SS 잘나/VA ᆫ/ETM 체/NNB 하/XSV 는/ETM 개/NNG 
사과__05/NNG	이/NP 에/JKB 따르/VV 아/EC 롯데/NNP 는/JX 오렌지/NNG ·/SP 	사과/NNG	주스/NNG 등/NNB 과실/NNG 음료/NNG 시장/NNG 의/JKG 83/SN ./SP 5/SN %/SW 를/JKO 독점/NNG 하/XSV 게/EC 되/VV 었/EP 다/EC 또/MAG 콜라/NNG ,/SP 사이다/NNG 등/NNB 탄산음료/NNG 시장/NNG 의/JKG 
사과__08/NNG	@/SW chosun/SL ./SP com/SL 2000/SN -/SS 06/SN -/SS 30/SN 31/SN 면/NNG 45/SN 판/NNG 1296/SN 자/NNG 로비/NNG 점거/NNG 하/XSV ᆫ/ETM 파업/NNG 노/NNG ·/SP 경/NNG 격렬/XR 충돌/NNG 	사과/NNG	도/JX 없/VA 는/ETM 호텔/NNG 손/NNG 님/XSN 배려/NNG 는/JX 없/VA 었/EP 다/EC 29/SN 일/NNB 새벽/NNG 4/SN 시/NNB ./SF 
사과__08/NNG	까지/JX 보전/NNG 하/XSV 는/ETM 악순환/NNG 을/JKO 거듭/MAG 하/XSV 았/EP 다/EC "/SS 며/EC "/SS 노조/NNG 가/JKS 불법/NNG 파업/NNG 과/JC 폭행/NNG 사건/NNG 에/JKB 대하/VV 아/EC '/SS 대국민/NNG 	사과/NNG	'/SS 등/NNB 을/JKO 하/VV 지/EC 않/VX 는/ETM 한/NNG 절대로/MAG 양보/NNG 하/XSV ᆯ/ETM 수/NNB 없/VA 다/EC "/SS 고/JKQ 밝히/VV 고/EC 있/VX 다/EF ./SF 
사과__08/NNG	양측/NNG 은/JX 지난달/NNG 25/SN 일/NNB 협상/NNG 을/JKO 재개/NNG 하/XSV 려/EC 하/VX 았/EP 으나/EC ,/SP 의료/NNG 계/XSN 가/JKS 협상/NNG 테이블/NNG 에/JKB 앉/VV 자마자/EC '/SS 서울경찰청/NNP 장/NNG 	사과/NNG	'/SS 와/JC '/SS 의약/NNG 분업/NNG 관련/NNG 복지부/NNG 공무원/NNG 문책/NNG 인사/NNG '/SS 를/JKO 잇달/VV 아/EC 요구/NNG 하/XSV 아/EC 실마리/NNG 를/JKO 풀/VV 지/EC 못하/VX 았/EP 다/EF ./SF 
사과__08/NNG	또/MAG 의료/NNG 계/XSN 가/JKS 이번/NNG 에/JKB 유보/NNG 하/XSV ᆫ/ETM 서울경찰청/NNP 장/NNG 	사과/NNG	와/JC 공무원/NNG 문책/NNG 문제/NNG 를/JKO 타협/NNG 이/JKS 끝나/VV ᆯ/ETM 때/NNG 까지/JX 해결/NNG 하/XSV ᆯ/ETM 숙제/NNG 로/JKB 남기/VV 어/EC 놓/VX 고/EC ,/SP 전공의/NNG 들/XSN 은/JX 국회/NNG 
사과__08/NNG	또/MAG 다른/MM 수석/NNG 검사/NNG 이/VCP ᆫ/ETM 호주/NNP 의/JKG 돌고폴/NNP (/SS 프린다스/NNP 대학/NNG )/SS 교수/NNG 도/JX "/SS 일본/NNP 은/JX 정부/NNG 차원/NNG 에서/JKB 	사과/NNG	하/XSV 고/EC ,/SP 피해자/NNG 보상/NNG 을/JKO 책임지/VV 라/EC "/SS 고/JKQ 요구/NNG 하/XSV 았/EP 다/EF ./SF 
사과__08/NNG	24/SN 명/NNB 의/JKG 전/NNG 사상자/NNG 가/JKS 나/VV 고/EC 해군/NNG 함정/NNG 이/JKS 격침/NNG 당하/VV 았/EP 는데/EC 고작/MAG 하/VV ᆫ다는/ETM 소리/NNG 가/JKS 겨우/MAG 	사과/NNG	와/JC 재발/NNG 방지/NNG 요구/NNG 이/VCP ᆫ가/EF ?/SF 
사과__08/NNG	남/NNP 북한/NNP 양측/NNG 의/JKG 공동/NNG 조사/NNG 와/JC 북측/NNG 의/JKG 공식/NNG 	사과/NNG	를/JKO 받/VV 기/ETN 전/NNG 에/JKB 국민/NNG 의/JKG 세금/NNG 으로/JKB 지원/NNG 하/XSV 는/ETM 금강산/NNP 관광/NNG 을/JKO 한차례/NNG 중단/NNG 도/JX 없이/MAG 속행/NNG 하/XSV ᆫ다는/ETM 것/NNB 은/JX 건전/NNG 
사과__08/NNG	우발/NNG 적/XSN 이/VCP ᆫ/ETM 사건/NNG 이/VCP 라면/EC 북한/NNP 은/JX 먼저/MAG 그/MM 경위/NNG 를/JKO 설명/NNG ,/SP 	사과/NNG	하/XSV 고/EC 책임자/NNG 를/JKO 처벌/NNG 하/XSV 아야/EC 하/VX ᆫ다/EF ./SF 
사과__08/NNG	몸싸움/NNG 사실/NNG …/SE 폭행/NNG 은/JX 안/MAG 하/VV 아/EC "/SS "/SS 결과/NNG 적/XSN 으로/JKB 기자/NNG 가/JKS 다치/VV ᆫ/ETM 것/NNB 에/JKB 대하/VV 아서/EC 는/JX 개인/NNG 적/XSN 으로/JKB 	사과/NNG	하/XSV ᆫ다/EF ./SF 
사과__08/NNG	구차/NNG 하/XSA ᆫ/ETM 변명/NNG 보다/JKB 는/JX 지금/NNG 의/JKG 위기/NNG 를/JKO 초래/NNG 하/XSV ᆫ/ETM 데/NNB 대하/VV 아/EC 정부/NNG 와/JC 여당/NNG 이/JKS 국민/NNG 앞/NNG 에/JKB 진심/NNG 으로/JKB 	사과/NNG	하/XSV 고/EC 이제/NNG 부터/JX 이/VCP 라도/EC 잘/MAG 하/VV 아/EC 보/VX 겠/EP 다는/ETM 자세/NNG 를/JKO 보이/VV 어/EC 주/VX 는/ETM 것/NNB 이/JKS 긴요/XR 하/XSA 다고/EC 보/VX ᆫ다/EF 
사과__05/NNG	또/MAG 어느/MM 옛/MM 양반집/NNG 다락/NNG 에서/JKB 나오/VV 아/EC 엿장수/NNG 의/JKG 손/NNG 을/JKO 거치/VV 어/EC 과수원/NNG 의/JKG 	사과/NNG	봉지/NNG 로/JKB 사용/NNG 되/XSV 기/ETN 직전/NNG ,/SP 한/MM 우체부/NNG 의/JKG 제보/NNG 로/JKB 입수/NNG 하/XSV ᆫ/ETM 조선일보/NNP 무더기/NNG 에/JKB 는/JX 1927/SN 년/NNB 1/SN 월/NNB 부터/JX 7/SN 
사과__08/NNG	1990/SN //SP 05/SN //SP 15/SN "/SS 뿌리/NNG 깊/VA 은/ETM 시각차/NNG "/SS …/SE '/SS 일/NNP 왕/NNG 	사과/NNG	'/SS 를/JKO 보/VV 는/ETM 한/NNP -/SS 일/NNP 감정/NNG (/SS 기자/NNG 수첩/NNG )/SS 노태우/NNP 대통령/NNG 의/JKG 오/VV 는/ETM 24/SN 일/NNB 방일/NNG 을/JKO 앞두/VV ᆫ/ETM 요즘/NNG 일본/NNP 
사과__08/NNG	이나/JC 해설/NNG 기사/NNG 등/NNB 을/JKO 통하/VV 아/EC '/SS 한/NNP -/SS 일/NNP 간/NNB 의/JKG 과거사/NNG 에/JKB 대하/VV 아/EC 아키히토/NNP (/SS 명인/NNP )/SS 일/NNP 왕/NNG 이/JKS 명백히/MAG 	사과/NNG	하/XSV 는/ETM 것/NNB 은/JX 곤란/NNG 하/XSA 다/EC '/SS 는/JX 목소리/NNG 를/JKO 높이/VV 고/EC 있/VX 다/EF ./SF 
사과__08/NNG	따라서/MAJ 	사과/NNG	는/JX 행정/NNG 수반/NNG 이/VCP ᆫ/ETM 가이후/NNP 총리/NNG 의/JKG '/SS 유감/NNG 표명/NNG '/SS 으로/JKB 충분/XR 하/XSA 며/EC 일/NNP 왕/NNG 은/JX 히로히토/NNP (/SS 유인/NNP )/SS 전/MM 일/NNP 
사과__08/NNG	이/VCP ᆫ/ETM 가이후/NNP 총리/NNG 의/JKG '/SS 유감/NNG 표명/NNG '/SS 으로/JKB 충분/XR 하/XSA 며/EC 일/NNP 왕/NNG 은/JX 히로히토/NNP (/SS 유인/NNP )/SS 전/MM 일/NNP 왕/NNG 이상/NNG 의/JKG 	사과/NNG	를/JKO 하/VV ᆯ/ETM 수/NNB 없/VA 다는/ETM 얘기/NNG 이/VCP 다/EF ./SF 
사과__08/NNG	하/XSV ᆫ다/EC "/SS 하/VV 았/EP 던/ETM 일/NNP 정부/NNG 가/JKS 노/NNP 대통령/NNG 방일/NNG 이/JKS 발표/NNG 되/XSV 자/EC "/SS 가/NA 이후/NA (/SS 해부/NNP )/SS 총리/NNG 가/JKS 대신/NNG 	사과/NNG	하/XSV ᆫ다/EC "/SS "/SS 모든/MM 아시아/NNP 국가/NNG 를/JKO 대상/NNG 으로/JKB 하/VV ᆫ/ETM 사과/NNG 하/XSV ᆫ다/EC "/SS 는/ETM 등/NNB 의/JKG 발언/NNG 을/JKO 잇따르/VV 아/EC 내놓/VV 고/EC 
사과__08/NNG	발표/NNG 되/XSV 자/EC "/SS 가/NA 이후/NA (/SS 해부/NNP )/SS 총리/NNG 가/JKS 대신/NNG 사과/NNG 하/XSV ᆫ다/EC "/SS "/SS 모든/MM 아시아/NNP 국가/NNG 를/JKO 대상/NNG 으로/JKB 하/VV ᆫ/ETM 	사과/NNG	하/XSV ᆫ다/EC "/SS 는/ETM 등/NNB 의/JKG 발언/NNG 을/JKO 잇따르/VV 아/EC 내놓/VV 고/EC 있/VX 는/ETM 것/NNB 이/VCP 다/EF ./SF 
사과__08/NNG	이/NP 에/JKB 덧붙이/VV 어/EC 일/NNP 언론/NNG 들/XSN 과/JC 자민당/NNP 수뇌부/NNG 는/JX "/SS 과거사/NNG 에/JKB 대하/VV ᆫ/ETM 	사과/NNG	문제/NNG 는/JX 외교/NNG 적/XSN 교섭/NNG 대상/NNG 이/JKC 아니/VCN 다/EC "/SS 며/EC 양국/NNG 외무/NNG 장관/NNG 회담/NNG 당시/NNG 이/MM 문제/NNG 를/JKO 거론/NNG 하/XSV 았/EP 던/ETM 최호중/NNP 외무/NNG 
사과__08/NNG	또/MAG 노/NNP 대통령/NNG 방일/NNG 때/NNG 아키히토/NNP 일/NNP 왕/NNG 이/JKS 보다/MAG 구체/NNG 적/XSN 이/VCP ᆫ/ETM 	사과/NNG	를/JKO 하/VV ᆯ/ETM 것/NNB 이/VCP 라는/ETM 보도/NNG 도/JX 나오/VV 았/EP 음/ETN 은/JX 공지/NNG 의/JKG 사실/NNG 이/VCP 다/EF ./SF 
사과__08/NNG	'/SS 통석/XR 의/JKG 염/NNG '/SS 은/JX 84/SN 년/NNB 히로히토/NNP 전왕/NNG 의/JKG 말/NNG 보다/JKB 는/JX 반/NNG 보/NNB 쯤/XSN 은/JX 진전/NNG 되/XSV ᆫ/ETM 	사과/NNG	로/JKB 보/VV ᆯ/ETM 수/NNB 있/VV 다/EF ./SF 
사과__08/NNG	의/JKG 법/NNG 적/XSN 지위/NNG 문제/NNG 에서부터/JKB ,/SP 아키히토/NNP 일/NNP 왕/NNG 이/JKS 과거/NNG 35/SN 년/NNB 간__x16/NNG 의/JKG 한국/NNP 식민/NNG 지배/NNG 에/JKB 대하/VV 아/EC 어느/MM 정도/NNG 의/JKG 	사과/NNG	를/JKO 하/VV ᆯ/ETM 것/NNB 이/VCP 냐/EC 와/JC ,/SP 양국/NNG 간/NNB 무역/NNG 역조/NNG 시정/NNG 및/MAG 기술/NNG 이전/NNG 문제/NNG 에/JKB 어느/MM 정도/NNG 의/JKG 진전/NNG 이/JKS 있/VV 을/ETM 
사과__08/NNG	그렇/VA 다면/EC 당연히/MAG 정권/NNG 의/JKG 최고/NNG 책임자/NNG 가/JKS 사찰/NNG 의/JKG 대상/NNG 이/VCP ᆫ/ETM 국민/NNG 에게/JKB 	사과/NNG	하/XSV 았/EP 어야/EC 옳/VA 다/EF ./SF 
사과__08/NNG	부재/NNG ,/SP 기업/NNG 의/JKG 불법/NNG 행위/NNG 에/JKB 대하/VV ᆫ/ETM 방조/NNG 등/NNB 에서/JKB 연유/NNG 하/XSV ᆫ다/EC "/SS 고/JKQ 주장/NNG 하/XSV 고/EC 노/NNP 정권/NNG 의/JKG 대/NNB 국민/NNG 	사과/NNG	및/MAG 내각/NNG 총/MM 사퇴/NNG 를/JKO 요구/NNG 하/XSV 았/EP 다/EF ./SF 
사과__08/NNG	1991/SN //SP 06/SN //SP 05/SN 01/SN 외대/NNP 총장/NNG -/SS 대학원/NNG 생/XSN 들/XSN 	사과/NNG	이강혁/NNP 외대/NNP 총장/NNG 과/JC 이인웅/NNP 교육/NNG 대학원장/NNG 및/MAG 교육/NNG 대학원/NNG 학생/NNG 대표/NNG 3/SN 명/NNB 은/JX 4/SN 일/NNB 오전/NNG 국무/NNG 총리실/NNG 을/JKO 방문/NNG ,/SP 정원식/NNP 총리/NNG 
사과__08/NNG	은/JX 4/SN 일/NNB 오전/NNG 국무/NNG 총리실/NNG 을/JKO 방문/NNG ,/SP 정원식/NNP 총리/NNG 서리/NNG 에게/JKB 일부/NNG 학부/NNG 학생/NNG 들/XSN 의/JKG 집단/NNG 폭행/NNG 사태/NNG 에/JKB 대하/VV 아/EC 공식/NNG 	사과/NNG	하/XSV 았/EP 다/EF ./SF 
사과__08/NNG	일/NNG 이/JKS 돌발/NNG 적/XSN 으로/JKB 일어나/VV 게/EC 되/VV 어/EC ,/SP 말씀/NNG 이나/JC 글/NNG 로써/JKB 는/JX 도저히/MAG 사죄/NNG 드리/VV 기/ETN 가/JKS 어렵/VA 다/EC "/SS 고/JKQ 정중히/MAG 	사과/NNG	하/XSV 았/EP 다/EF ./SF 
사과__08/NNG	정/NNP 총리/NNG 서리/NNG 는/JX 이날/NNG 오전/NNG 일단/MAG 은/JX 정상/NNG 출근/NNG ,/SP 기자/NNG 간담회/NNG 와/JC 이강혁/NNP 외국어대/NNP 총장/NNG 의/JKG 	사과/NNG	방문/NNG 을/JKO 받/VV 은/ETM 뒤/NNG ,/SP 휴식/NNG 과/JC 안정/NNG 을/JKO 취하/VV 기/ETN 위하/VV 아/EC 곧바로/MAG 공관/NNG 으로/JKB 퇴청/NNG ./SF 
사과__08/NNG	이날/NNG 회의/NNG 에서/JKB 정발연/NNP 회원/NNG 들/XSN 은/JX 이미/MAG 조/NNP 부의장/NNG 이/JKS 김대중/NNP 총재/NNG 를/JKO 동교동/NNP 으로/JKB 방문/NNG ,/SP 	사과/NNG	하/XSV ᆫ/ETM 만큼/NNB 조/NNP 부의장/NNG 제명/NNG 등/NNB 극하/VV ᆫ/ETM 상황/NNG 이/JKS 발생/NNG 하/XSV 지/EC 않/VX 도록/EC 주류/NNG 측/NNB 이/JKS 조/NNP 부의장/NNG 의/JKG 사과/NNG 를/JKO 수용/NNG 
사과__08/NNG	방문/NNG ,/SP 사과/NNG 하/XSV ᆫ/ETM 만큼/NNB 조/NNP 부의장/NNG 제명/NNG 등/NNB 극하/VV ᆫ/ETM 상황/NNG 이/JKS 발생/NNG 하/XSV 지/EC 않/VX 도록/EC 주류/NNG 측/NNB 이/JKS 조/NNP 부의장/NNG 의/JKG 	사과/NNG	를/JKO 수용/NNG 하/XSV 아야/EC 하/VX ᆯ/ETM 것/NNB 이/VCP 라고/EC 의견/NNG 을/JKO 모으/VV 았/EP 다/EF ./SF 
사과__08/NNG	재정/NNG 위원/NNG 으로/JKB 당/NNG 총재/NNG 로부터/JKB 모범/NNG 당원/NNG 표창/NNG 을/JKO 받/VV 은/ETM 사실/NNG 과/JKB 관련/NNG ,/SP 성명/NNG 을/JKO 통하/VV 아/EC 진상/NNG 해명/NNG 과/JC 대/NNB 국민/NNG 	사과/NNG	를/JKO 촉구/NNG 하/XSV 았/EP 다/EF ./SF 
사과__08/NNG	1991/SN //SP 12/SN //SP 05/SN 02/SN "/SS 태평양/NNP 전쟁/NNG 도발/NNG 은/JX 무모/NNG 하/XSA ᆫ/ETM 짓/NNG "/SS //SP 일/NNP 외무/NNG 이례/NNG 적/XSN 	사과/NNG	WP/SL 지__x28/NNG 와/JKB 회견/NNG 서/JKB 와타나베/NNP (/SS 도변/NNP )/SS 일본/NNP 외무/NNG 장관/NNG 은/JX 일본/NNP 의/JKG 대미/NNG 전쟁/NNG 도발/NNG 과/JKB 관련/NNG ,/SP 미/NNP 국민/NNG 에게/JKB 사과/NNG 
사과__08/NNG	사과/NNG WP/SL 지__x28/NNG 와/JKB 회견/NNG 서/JKB 와타나베/NNP (/SS 도변/NNP )/SS 일본/NNP 외무/NNG 장관/NNG 은/JX 일본/NNP 의/JKG 대미/NNG 전쟁/NNG 도발/NNG 과/JKB 관련/NNG ,/SP 미/NNP 국민/NNG 에게/JKB 	사과/NNG	하/XSV 는/ETM 한편/NNG 미국/NNP 의/JKG 히로시마/NNP (/SS 광도/NNP )/SS ,/SP 나가사키/NNP (/SS 장기/NNP )/SS 원폭/NNG 투하/NNG 에/JKB 대하/VV 아/EC 일본/NNP 정부/NNG 는/JX 어떠/XR 하/XSA ᆫ/ETM 
사과__08/NNG	)/SS 등/NNB 2/SN 명/NNB 을/JKO 해임/NNG 하/XSV 고/EC 이/NP 들/XSN 의/JKG 박/NNP 의장/NNG 폭행/NNG 에/JKB 대하/VV 아/EC 당/NNG 차원/NNG 에서/JKB 유감/NNG 으로/JKB 생각/NNG 하/XSV ᆫ다고/EC 	사과/NNG	의/JKG 뜻/NNG 을/JKO 밝히/VV 었/EP 다/EF ./SF 
사과__05/NNG	//SP 선거/NNG 물가/NNG 비상/NNG //SP 식품/NNG -/SS 서비스/NNG 요금/NNG 폭등세/NNG 무/NNG 1/SN 개/NNB 두/MM 달/NNB 새/NNG 4/SN 백/NR 원/NNB 서/JKB 1/SN 천/NR 원/NNB 으로/JKB //SP 	사과/NNG	13/SN %/SW -/SS 쇠__x04/NNG 고기/NNG 14/SN %/SW …/SE 미용/NNG 67/SN %/SW 오르/VV 아/EC 총선/NNG 을/JKO 앞두/VV 고/EC 사회/NNG 분위기/NNG 가/JKS 들뜨/VV 고/EC ,/SP 행정력/NNG 도/JX 
사과__05/NNG	가/XSN )/SS 의/JKG 경우/NNG 작년/NNG 말/NNB 서울/NNP 가락/NNP 농수산물/NNG 시장/NNG 에서/JKB 15/SN ㎏/SW 1/SN 상자/NNG 당/XSN 2/SN 만/NR 4/SN 천/NR 8/SN 백/NR 원/NNB 하/VV 던/ETM 	사과/NNG	가/JKS 4/SN 일/NNB 현재/MAG 13/SN %/SW 가/JKS 오르/VV ᆫ/ETM 2/SN 만/NR 8/SN 천/NR 원/NNB 을/JKO 웃돌/VV 았/EP 고/EC ,/SP 작년/NNG 말/NNB 2/SN ㎏/SW 1/SN 상자/NNG 
사과__08/NNG	하/XSV 는/ETM 것/NNB 이/JKS 내정/NNG 간섭/NNG 웬말/NNG 이/VCP 냐/EC '/SS 는/ETM 등/NNB 의/JKG 내용/NNG 이/JKS 적히/VV ᆫ/ETM 대/NNG 형/XSN 격문/NNG 과/JC 피해/NNG 보상/NNG -/SS 공식/NNG 	사과/NNG	등/NNB 을/JKO 요구/NNG 하/XSV 는/ETM 대자보/NNG 가/JKS 나붙/VV 었/EP 다/EF ./SF 
사과__08/NNG	요구/NNG 하/XSV 자/EC 38/SN 일/NNB 만/NNB 이/VCP ᆫ/ETM 지나/VV ᆫ/ETM 11/SN 일/NNB 비/XPN 공개/NNG 간담회/NNG 를/JKO 열/VV 어/EC 강/NNP 씨/NNB 가/JKS 고/NNP 씨/NNB 에게/JKB 공개/NNG 	사과/NNG	하/XSV 는/ETM 선/NNG 에서/JKB 사건/NNG 을/JKO 매듭/NNG 짓/VV 었/EP 다고/EC 고/NNP 씨/NNB 는/JX 밝히/VV 었/EP 다/EF ./SF 
사과__08/NNG	위안부/NNG 로/JKB 강제/NNG 동원/NNG 되/XSV 었/EP 던/ETM 북한/NNP 여성/NNG 들/XSN 은/JX 일본/NNP 정부/NNG 에/JKB 대하/VV 아/EC 금전/NNG 적/XSN 배상/NNG 이/JKC 아니/VCN 라/EC 성실/NNG 하/XSA ᆫ/ETM 	사과/NNG	를/JKO 요구/NNG 하/XSV 고/EC 있/VX 다고/EC 교도/NNP (/SS 공동/NNP )/SS 통신/NNG 이/JKS 13/SN 일/NNB 평양/NNP 발__x15/NNG 로/JKB 보도/NNG 하/XSV 았/EP 다/EF ./SF 
사과__08/NNG	1992/SN //SP 11/SN //SP 05/SN 31/SN 재야/NNG ,/SP 북/NNG 비난/NNG 성명/NNG //SP 민중/NNG 운동/NNG 개입/NNG 중지/NNG -/SS 	사과/NNG	촉구/NNG 최윤/NNP 진보/NNG 정당/NNG 추진/NNG 위원회/NNG (/SS 진정추/NNP )/SS 대표/NNG ,/SP 오세철/NNP 연세대/NNP 교수/NNG 등/NNB 7/SN 명/NNB 은/JX 4/SN 일/NNB 오전/NNG 9/SN 시/NNB 서울/NNP 정동/NNP 
사과__08/NNG	기자/NNG 회견/NNG 을/JKO 갖/VV 고/EC "/SS 북한/NNP 당국/NNG 과/JC 조선/NNP 노동당/NNP 은/JX 한국/NNP 민중/NNG 운동/NNG 에/JKB 대하/VV ᆫ/ETM 개입/NNG 을/JKO 즉각/MAG 중지/NNG 하/XSV 고/EC 공개/NNG 	사과/NNG	하/XSV 라/EC "/SS 고/JKQ 촉구/NNG 하/XSV 았/EP 다/EF ./SF 
